No,Tahun,Total,Laju Pertumbuhan,Kemiskinan,TFR,Angka Harapan Hidup
1,1961,97387000,2.1,58432200,6.64,47.3
2,1962,99257000,2.1,59554200,6.54,48.1
3,1963,101221000,2.1,60732600,6.44,48.7
4,1964,103271000,2.1,61962600,6.33,49.4
5,1965,105414000,2.1,63248400,6.23,42.76
6,1966,107645000,2.1,64587000,6.13,48.4
7,1967,109964000,2.1,65978400,6.02,51.3
8,1968,112377000,2.1,67426200,5.92,51.8
9,1969,114880000,2.1,68928000,5.82,52.58
10,1970,117469000,2.1,70000000,5.71,53.25
11,1971,120149000,2.32,68124483,5.61,53.8
12,1972,123115000,2.32,65743410,5.51,54.3
13,1973,126088000,2.32,63170088,5.4,55
14,1974,129083000,2.32,60281761,5.3,55.4
15,1975,131110000,2.32,56901740,5.2,56
16,1976,131304000,2.32,54200000,5.09,56.4
17,1977,133940000,2.32,49155980,4.99,57
18,1978,136639000,2.32,47200000,4.89,57.6
19,1979,139376000,2.32,43136872,4.78,58.18
20,1980,142178000,2.32,42300000,4.68,58.7
21,1981,145038000,1.98,40600000,4.54,59.1
22,1982,147939700,1.98,37132864,4.41,59.7
23,1983,150900800,1.98,35310787,4.27,60.3
24,1984,153923700,1.98,35000000,4.14,60.9
25,1985,157009500,1.98,31715919,4,61.39
26,1986,164629618,1.98,30950368,3.87,61.7
27,1987,172009500,1.98,30000000,3.73,62.1
28,1988,175588836,1.98,29200423,3.6,62.4
29,1989,179136110,1.98,28482641,3.46,62.4
30,1990,179194358,1.98,27200000,3.33,63.25
31,1991,182940900,1.49,26709371,3.23,63.7
32,1992,186042100,1.49,26417978,3.13,64.1
33,1993,189135600,1.49,25900000,3.03,65
34,1994,192216500,1.49,24795928,2.93,65
35,1995,194754800,1.49,23565330,2.83,65.2
36,1996,198342900,1.49,34650504,2.73,66
37,1997,201353100,1.49,22752900,2.63,66
38,1998,204392500,1.49,49524302,2.53,66
39,1999,205017000,1.49,48035483,2.43,66
40,2000,205843000,1.49,39398350,2.34,66
41,2001,208601000,1.49,38403444,2.34,67.8
42,2002,212003000,1.49,38584546,2.35,67.8
43,2003,214975000,1.49,37448645,2.36,67.8
44,2004,216854000,1.49,36127876,2.36,67.8
45,2005,219205000,1.49,35007038,2.37,67.8
46,2006,222192000,1.49,39439080,2.38,69.1
47,2007,224428200,1.49,37168300,2.38,69.1
48,2008,226889000,1.49,34963300,2.39,69.1
49,2009,229349800,1.49,32529970,2.4,69.1
50,2010,237556400,1.49,31023390,2.41,69.1
51,2011,237652600,1.35,30018930,2.38,70.1
52,2012,240763092,1.35,28863520,2.36,70.1
53,2013,248818100,1.35,28553930,2.34,70.1
54,2014,250421446,1.35,28003895,2.32,70.1
55,2015,255587500,1.35,28553180,2.29,70.1
56,2016,258496500,1.35,27884855,2.27,71
57,2017,261355500,1.35,27177105,2.25,71.11
58,2018,264161600,1.35,25812190,2.23,71.2
59,2019,266911900,1.35,24965295,2.2,71.4
60,2020,270203900,1.35,26986855,2.18,72.81
61,2021,272682500,1.13,27542770,2.16,70.7
62,2022,275773800,1.05,26161160,2.13,71.88
63,2023,278696200,1.05,25898550,2.11,72
64,2024,281603800,1.006,24636960,2.09,72.2
65,2025,284438800,,,,
